dai 1336a
    1.000000     -0.2595297E-04
   0.9933421      0.1103312E-02
   0.9846409      0.2575557E-02
   0.9748806      0.4234017E-02
   0.9642845      0.6089732E-02
   0.9529977      0.8170634E-02
   0.9410771      0.1046910E-01
   0.9286602      0.1294551E-01
   0.9159509      0.1555973E-01
   0.9031008      0.1828978E-01
   0.8901600      0.2113077E-01
   0.8771297      0.2408460E-01
   0.8639956      0.2715390E-01
   0.8507454      0.3033077E-01
   0.8373917      0.3359911E-01
   0.8239583      0.3694570E-01
   0.8104479      0.4036516E-01
   0.7968439      0.4385318E-01
   0.7831423      0.4739849E-01
   0.7693613      0.5098342E-01
   0.7555260      0.5458800E-01
   0.7416619      0.5819498E-01
   0.7278055      0.6179382E-01
   0.7140079      0.6537024E-01
   0.7003161      0.6890073E-01
   0.6867534      0.7236468E-01
   0.6733226      0.7574652E-01
   0.6600133      0.7903426E-01
   0.6468085      0.8222053E-01
   0.6336970      0.8529970E-01
   0.6206745      0.8826471E-01
   0.6077362      0.9110842E-01
   0.5948726      0.9382528E-01
   0.5820749      0.9641115E-01
   0.5693390      0.9886139E-01
   0.5566624      0.1011706    
   0.5440382      0.1033339    
   0.5314549      0.1053485    
   0.5189009      0.1072127    
   0.5063655      0.1089250    
   0.4938379      0.1104854    
   0.4813068      0.1118939    
   0.4687629      0.1131522    
   0.4562017      0.1142620    
   0.4436233      0.1152242    
   0.4310304      0.1160398    
   0.4184279      0.1167089    
   0.4058206      0.1172314    
   0.3932131      0.1176069    
   0.3806096      0.1178350    
   0.3680144      0.1179150    
   0.3554319      0.1178465    
   0.3428675      0.1176287    
   0.3303266      0.1172607    
   0.3178143      0.1167415    
   0.3053341      0.1160699    
   0.2928911      0.1152452    
   0.2804925      0.1142668    
   0.2681470      0.1131337    
   0.2558633      0.1118447    
   0.2436502      0.1103988    
   0.2315187      0.1087950    
   0.2194818      0.1070326    
   0.2075542      0.1051107    
   0.1957517      0.1030288    
   0.1840928      0.1007862    
   0.1725994      0.9838364E-01
   0.1612949      0.9582123E-01
   0.1502009      0.9309888E-01
   0.1393372      0.9021819E-01
   0.1287302      0.8718480E-01
   0.1184141      0.8400918E-01
   0.1084317      0.8070581E-01
   0.9883104E-01  0.7729555E-01
   0.8966317E-01  0.7380297E-01
   0.8098130E-01  0.7025787E-01
   0.7283019E-01  0.6669366E-01
   0.6524633E-01  0.6314106E-01
   0.5824920E-01  0.5963103E-01
   0.5183866E-01  0.5619001E-01
   0.4600257E-01  0.5283905E-01
   0.4071367E-01  0.4959488E-01
   0.3593525E-01  0.4646692E-01
   0.3163169E-01  0.4345978E-01
   0.2776435E-01  0.4057670E-01
   0.2429213E-01  0.3781740E-01
   0.2117893E-01  0.3517419E-01
   0.1838916E-01  0.3263587E-01
   0.1588736E-01  0.3019148E-01
   0.1364116E-01  0.2783114E-01
   0.1162505E-01  0.2554810E-01
   0.9818352E-02  0.2333865E-01
   0.8202531E-02  0.2120037E-01
   0.6760872E-02  0.1913113E-01
   0.5483258E-02  0.1712726E-01
   0.4361811E-02  0.1518227E-01
   0.3387172E-02  0.1328839E-01
   0.2550022E-02  0.1143775E-01
   0.1841529E-02  0.9625674E-02
   0.1254270E-02  0.7854001E-02
   0.7819713E-03  0.6127936E-02
   0.4185194E-03  0.4454018E-02
   0.1641221E-03  0.2836880E-02
   0.2330649E-04  0.1269437E-02
   0.1523035E-05 -0.2667122E-03
   0.1071341E-03 -0.1796810E-02
   0.3443810E-03 -0.3339965E-02
   0.7199646E-03 -0.4900134E-02
   0.1242681E-02 -0.6462450E-02
   0.1928093E-02 -0.7999596E-02
   0.2796074E-02 -0.9487143E-02
   0.3859374E-02 -0.1090512E-01
   0.5122338E-02 -0.1223079E-01
   0.6585749E-02 -0.1344665E-01
   0.8239307E-02 -0.1455868E-01
   0.1006786E-01 -0.1557718E-01
   0.1207026E-01 -0.1651342E-01
   0.1425655E-01 -0.1738171E-01
   0.1663428E-01 -0.1820246E-01
   0.1921639E-01 -0.1898984E-01
   0.2202904E-01 -0.1974458E-01
   0.2510332E-01 -0.2046865E-01
   0.2847503E-01 -0.2116772E-01
   0.3218889E-01 -0.2184566E-01
   0.3630288E-01 -0.2249988E-01
   0.4088676E-01 -0.2312895E-01
   0.4601995E-01 -0.2373501E-01
   0.5178774E-01 -0.2431887E-01
   0.5827893E-01 -0.2487019E-01
   0.6557194E-01 -0.2537739E-01
   0.7372916E-01 -0.2583213E-01
   0.8279165E-01 -0.2622020E-01
   0.9274548E-01 -0.2652411E-01
   0.1035296     -0.2673302E-01
   0.1150556     -0.2684006E-01
   0.1271969     -0.2684586E-01
   0.1398224     -0.2675601E-01
   0.1528156     -0.2657458E-01
   0.1660919     -0.2630897E-01
   0.1795939     -0.2596815E-01
   0.1932693     -0.2556260E-01
   0.2070726     -0.2510038E-01
   0.2209720     -0.2458759E-01
   0.2349496     -0.2402980E-01
   0.2489912     -0.2343206E-01
   0.2630831     -0.2279902E-01
   0.2772146     -0.2213376E-01
   0.2913806     -0.2143900E-01
   0.3055793     -0.2071751E-01
   0.3198086     -0.1997209E-01
   0.3340655     -0.1920533E-01
   0.3483459     -0.1841971E-01
   0.3626458     -0.1761721E-01
   0.3769666     -0.1679893E-01
   0.3913149     -0.1596650E-01
   0.4056925     -0.1512359E-01
   0.4200899     -0.1427406E-01
   0.4344963     -0.1341931E-01
   0.4489088     -0.1255977E-01
   0.4633269     -0.1169619E-01
   0.4777433     -0.1083015E-01
   0.4921470     -0.9965403E-02
   0.5065347     -0.9106728E-02
   0.5209110     -0.8256601E-02
   0.5352787     -0.7415234E-02
   0.5496352     -0.6583252E-02
   0.5639742     -0.5762057E-02
   0.5782871     -0.4953678E-02
   0.5925672     -0.4161835E-02
   0.6068131     -0.3390306E-02
   0.6210262     -0.2642233E-02
   0.6352082     -0.1920528E-02
   0.6493603     -0.1227851E-02
   0.6634835     -0.5666466E-03
   0.6775785      0.6067315E-04
   0.6916446      0.6516795E-03
   0.7056796      0.1203731E-02
   0.7196835      0.1713801E-02
   0.7336605      0.2179203E-02
   0.7476141      0.2598410E-02
   0.7615405      0.2969936E-02
   0.7754334      0.3290780E-02
   0.7892928      0.3557304E-02
   0.8031246      0.3766930E-02
   0.8169312      0.3918045E-02
   0.8307101      0.4008890E-02
   0.8444606      0.4037435E-02
   0.8581875      0.4002098E-02
   0.8718880      0.3903354E-02
   0.8855399      0.3742407E-02
   0.8991099      0.3519636E-02
   0.9125720      0.3235218E-02
   0.9258862      0.2894019E-02
   0.9389233      0.2508742E-02
   0.9514738      0.2091862E-02
   0.9633318      0.1644733E-02
   0.9743560      0.1173487E-02
   0.9843857      0.7119501E-03
   0.9932474      0.2947125E-03
    1.000000     -0.2595297E-04
